staker,lp,stt,ste,faction
terra17hyn20rajptyp3q32dp9mr06lrkjlvvapkzpht,108.292626,1.354756,136.7205385,degens
terra17k5mhemlsarcjsecwth4k5r67njau6uaqkhh4c,10.501605,5,18.12700625,degens
terra17ktk03kdlx05vwjssjw2y7lje756tw9tgqxjtw,0.503563,21,21.62945375,degens
terra174csqu0sahfrar3fftaeykg38wwv5cc6xux97m,51.757177,0,64.69647125,degens
terra1757lqxzrp7nru9nvmun7f6cjqk9huljgfrfnxx,2033.911793,30,2572.38974125,degens
terra175eszefcksewp80e7duy50t3gk739u826mtjgj,0.089049,0.000007,0.11131825,degens
terra1755apvjz9nfhvhsujnea2vuxxqzse5ggnsk3fk,1.122531,0,1.40316375,degens
terra1753jwuaf7svz64d20mp8c36y53c6sztqhfdpqt,1445.952297,0,1807.44037125,degens
terra175sndsu6ugv7c8rq2a6cz5t3rzhspxjtgs8v9e,1.785587,2,4.2319837499999995,degens
terra175d5e5yf3nt6uud0uvhshnq97a3wh7htjsk4zd,130.277425,1,163.84678125,degens
terra1758ar44285yukrvn4ryz22m32eezh3jtykx7t9,354.849867,3000.930917,3444.4932507500002,degens
terra175qdpq6ymj0xx68zst27cu3yhwkan9fvggc9ka,4.002645,2.066542,7.069848250000001,degens
terra17nvfa06ar08nave5hrug5tta72m8fa00la9ylm,1.925367,0.1,2.50670875,degens
terra17ng79smc67w3xvvpd0pa990j3jsel99pz4vkum,2778.566872,0,3473.2085899999997,degens
terra17j7q3k4ycw8k77dffy3ccj0whswymyw7xjuhvn,11582.381034,279.441519,14757.4178115,degens
terra173lwej3xsvhy02psulm9p784cm3u5fl0z4s39w,42.20402,1,53.755025,degens
terra1733kgmlaz8ynn3gd0qhs7263wqy673gclk9svg,0.292884,0,0.36610499999999996,degens
terra173dfj83tzsdjfapqjj3jh44fzhqtwtzvhk7mcs,199.280131,0,249.10016375,degens
terra17390m08htupz8u9p49m9zxq3q09ltthln6yaxx,132.626245,5.469989,171.25279525000002,degens
terra17smaay92puex3qwgvdq0jyw4u33dplxts7cuau,1.38255,0.5,2.2281874999999998,degens
terra17skag8gzusyds2hexv5s85vseke0vxe7qecwmg,153.895565,100,292.36945625,degens
